circle,kpi,periodicity,range,period_year,period_month,value,user,role
Fundraising,private donations,month,0 <= X,2023,7,1359887,default@test.com,default
Fundraising,private donations,month,0 <= X,2023,8,1101047,default@test.com,default
Fundraising,private donations,month,0 <= X,2023,9,,default@test.com,default
Fundraising,private donations,month,0 <= X,2023,10,,default@test.com,default
Fundraising,private donations,month,0 <= X,2023,11,,default@test.com,default
Fundraising,private donations,month,0 <= X,2023,12,,default@test.com,default
Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,3,51000,default@test.com,default
Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,6,0,default@test.com,default
Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,9,0,default@test.com,default
Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,12,,default@test.com,default
Programs,additional monetization/savings from programs,quarter,0 <= X,2023,3,186258,default@test.com,default
Programs,additional monetization/savings from programs,quarter,0 <= X,2023,6,0,default@test.com,default
Programs,additional monetization/savings from programs,quarter,0 <= X,2023,9,26000,default@test.com,default
Programs,additional monetization/savings from programs,quarter,0 <= X,2023,12,,default@test.com,default
